Components,Sub-components,Sub-sub component
DBMS Component,Data sources,
DBMS Component,Attributes,
DBMS Component,Data Quality,
DBMS Component,Labelling,
DBMS Component,Sampling,
DBMS Component,Data Cleaning,
Decision Component,Search strategy,
Decision Component,Problem formulation,
Decision Component,Evaluation,
Decision Component,Business Rules,
Decision Component,Review,
Model Component,Data,Class Imbalance Correction
Model Component,Data,Data splitting
Model Component,Data,Cross-validation
Model Component,Model/Parameter Choice,Classifier
Model Component,Model/Parameter Choice,Hyperparameters
Model Component,Model/Parameter Choice,Loss function
Model Component,Model/Parameter Choice,Cost function
Model Component,Model/Parameter Choice,Distance metric
Model Component,Model/Parameter Choice,Stopping Conditions
Model Component,Training and testing,Performance metrics
Model Component,Training and testing,Re-training
Model Component,Training and testing,Data splitting
Model Component,Training and testing,Cross-validation
Click to fill, Click to fill, Click to fill
Click to fill, Click to fill, Click to fill
Click to fill, Click to fill, Click to fill
Click to fill, Click to fill, Click to fill
Click to fill, Click to fill, Click to fill


